Title,Author,Year,Keyword,Abstract available,Abstract,Citation count,Source,Type,Open access,DOI
Are Bitcoin and Gold a Safe Haven during COVID-19 and the 2022 Russia–Ukraine War?,Ihsan Erdem Kayral; A. Jeribi; S. Loukil,2023,stock market covid GARCH,Yes,"Our investigation strives to unearth the best portfolio hedging strategy for the G7 stock indices through Bitcoin and gold using daily data relevant to the period 2 January 2016 to 5 January 2023. This study uses the DVECH-GARCH model to model dynamic correlation and then compute optimal hedge ratios and hedging effectiveness. The empirical findings show that Bitcoin and gold were rather effective hedge assets before COVID-19 and diversifiers during the pandemic and Russia–Ukraine war. From hedging effectiveness perspectives, gold and Bitcoin are safe-haven assets, and the investment risk of G7 stock indices could be hedged by taking a short position during thepandemic period and war except for the pair Nikkei/Gold. Additionally, gold beats Bitcoin in terms of hedging efficiency. We thus demonstrate the central role of Bitcoin and gold as financial market participants, particularly during market turmoil and downward movements. Our findings can be of interest to investors, regulators, and governments to take into consideration the role of Bitcoin in financial markets.",54,Journal of Risk and Financial Management,JournalArticle,True,10.3390/jrfm16040222
Constructing a positive sentiment index for COVID-19: Evidence from G20 stock markets,D. Anastasiou; Antonis Ballis; Konstantinos Drakos,2022,stock market covid GARCH,Yes,"The present study investigates the degree of market responses through the scope of investors' sentiment during the COVID-19 pandemic across G20 markets by constructing a novel positive search volume index for COVID-19 (COVID19+). Our key findings, obtained using a Panel-GARCH model, indicate that an increased COVID19+ index suggests that investors decrease their COVID-19 related crisis sentiment by escalating their Google searches for positively associated COVID-19 related keywords. Specifically, we explore the predictive power of the newly constructed index on stock returns and volatility. According to our findings, investor sentiment positively (negatively) predicts the stock return (volatility) during the COVID-19. This is the first study assessing global sentiment by proposing a novel proxy and its impacts on the G20 equity market.",54,International Review of Financial Analysis,JournalArticle,True,10.1016/j.irfa.2022.102111
COVID-19 Pandemic & Financial Market Volatility; Evidence from GARCH Models,Maaz Khan; U. Kayani; Mrestyal Khan; K. Mughal; Mohammad Haseeb,2023,stock market covid GARCH,Yes,"Across the globe, COVID-19 has disrupted the financial markets, making them more volatile. Thus, this paper examines the market volatility and asymmetric behavior of Bitcoin, EUR, S&P 500 index, Gold, Crude Oil, and Sugar during the COVID-19 pandemic. We applied the GARCH (1, 1), GJR-GARCH (1, 1), and EGARCH (1, 1) econometric models on the daily time series returns data ranging from 27 November 2018 to 15 June 2021. The empirical findings show a high level of volatility persistence in all the financial markets during the COVID-19 pandemic. Moreover, the Crude Oil and S&P 500 index shows significant positive asymmetric behavior during the pandemic. Apart from this, the results also reveal that EGARCH is the most appropriate model to capture the volatilities of the financial markets before the COVID-19 pandemic, whereas during the COVID-19 period and for the whole period, each GARCH family evenly models the volatile behavior of the six financial markets. This study provides financial investors and policymakers with useful insight into adopting effective strategies for constructing portfolios during crises in the future.",54,Journal of Risk and Financial Management,,True,10.3390/jrfm16010050
The Path of Financial Risk Spillover in the Stock Market Based on the R-Vine-Copula Model,Xiaomin Zhang; Tong Zhang; Chien‐Chiang Lee,2022,stock market covid GARCH,Yes,"This research focuses on the direct and indirect systemic risk spillovers among East Asian, European, and U.S. stock markets under the COVID-19 pandemic. Based on the GARCH-Copula-CoVaR model, we construct the direct spillover matrix of systemic risk and further explore the indirect spillover path through R-vine. The empirical results first show via the direct path that Hong Kong exhibited the largest change in value of risk after the pandemic erupted. Second, the indirect path is that European and U.S. stock market risks are transmitted to China domestically via Hong Kong and Japan. The key nodes provide reference for risk prevention.",49,SSRN Electronic Journal,,False,10.2139/ssrn.4019499
Do volatility spillover and hedging among GCC stock markets and global factors vary from normal to turbulent periods? Evidence from the global financial crisis and Covid-19 pandemic crisis,I. Yousaf; Makram Beljid; A. Chaibi; A. Ajlouni,2022,stock market covid GARCH,Yes,"In this paper, we use a bivariate VAR-asymmetric-BEKK-GARCH model to examine returns, asymmetric volatility spillovers, and time-varying correlations among GCC stock markets (Saudi Arabia, UAE, Qatar, Kuwait, Oman, and Bahrain) and five global factors (Islamic stocks, oil, gold, bonds, and real estate) from July 5, 2004, to March 31, 2021. To take into account the effects of the global financial crisis (GFC) and recent COVID-19 pandemic, we divide the sample period into four sub-periods: the full sample without COVID-19, pre-GFC, post-GFC, and the COVID-19 crisis. The empirical results indicate significant return and volatility spillovers between the GCC stock markets and global factors. Moreover, these spillovers between GCC stock markets and global factors increase in both the return and variance during turbulent periods (post-GFC and COVID-19 crisis periods). The time-varying correlations reveal that gold serves as a hedge and safe haven against most of the GCC stock markets in all sample periods, whereas the results vary across markets and sample periods for bonds, oil, Islamic stocks, and real estate assets against the GCC stocks. Our findings provide useful insights for investors and portfolio managers formulating trading strategies, determining asset allocation, and assembling optimal portfolios, since they persistently pursue challenging investment ideas and alternative asset classes, especially at times of financial crisis and global recession.",49,Pacific-Basin Finance Journal,,False,10.1016/j.pacfin.2022.101764
"Commodity dynamism in the COVID-19 crisis: Are gold, oil, and stock commodity prices, symmetrical?",Muhammad Sadiq; Chia-Yang Lin; Kuan-Ting Wang; Lam Minh Trung; K. D. Duong; T. Q. Ngo,2022,stock market covid GARCH,Yes,"The current research intends to examine the commodities' dynamism connection with stock prices under the COVID-19 crisis. DCC-GARCH modeling was applied to the data of Asian economies, including China, India, Sri Lanka, Bangladesh, and Pakistan to achieve the study objectives. The study's results indicated a significant connection between gold prices with stock prices and oil prices for all Asian stock markets. The results of the study constructs were symmetrical. In general, the connection grows with the frequency. The lowest frequency months contributed the most to the total relationship, followed by more than 12 months. Overall, gold and oil prices influence the Asian stock markets. These research findings can avoid contagion in times of economic uncertainty. This study also suggested policy implications for better decision-making of key stakeholders. Dynamic coefficient values were about 0.8 of β2 because nations' internal markets were more closely linked. There are also dynamic relationship factors between crude oil and foreign currency markets, where the correlations in India and China have always been around 0.",48,Resources Policy,JournalArticle,True,10.1016/j.resourpol.2022.103033
CLIMATE FINANCE IN THE WAKE OF COVID-19: CONNECTEDNESS OF CLEAN ENERGY WITH CONVENTIONAL ENERGY AND REGIONAL STOCK MARKETS,Sitara Karim; Shabeer Khan; Nawazish Mirza; S. Alawi; Farhad Taghizadeh‐Hesary,2022,stock market covid GARCH,Yes,"Focusing on raising climate concerns and sustaining a clean ecosystem, the current study strives to examine the connectedness of clean energy markets with conventional energy markets and four regional stock markets of Asia, Pacific, Europe, and America for the period spanning January 1, 2004 to August 31, 2021. We employed the volatility connectedness methodology using dynamic conditional correlation (DCC-GARCH) estimates for analysis purposes. There is pronounced within class connectedness of all markets except conventional energy markets, which showed strong disconnection from the network. However, strong inter-class spillovers are reported between clean energy and regional stock markets. Time-varying analysis revealed that intense spillovers are shaped during the Global Financial Crisis, Shale Oil Crisis, and COVID-19 pandemic. Meanwhile, time-varying net connectedness estimates illuminate that world renewable energy and American stock markets are net transmitters, whereas leftover markets are net recipients of spillovers. Further analysis of sub-sample periods during GFC, SOR, and COVID-19 validate that intense spillovers are formed when markets experience unexpected financial, economic, and global health turmoil. We proposed significant implications for regional stock markets of Asia, Pacific, Europe and America to concentrate on the climate-friendly energy markets than conventional energy markets as they service the clean ecosystem motives more specifically.",47,Climate Change Economics,,False,10.1142/s2010007822400085
An interpretable system for predicting the impact of COVID-19 government interventions on stock market sectors,Cai Yang; Mohammad Zoynul Abedin; Hongwei Zhang; Futian Weng; peta hajek,2023,stock market volatility covid machine learning,Yes,"Evaluating and understanding the financial impacts of COVID-19 has emerged as an urgent research agenda. Nevertheless, the impacts of government interventions on stock markets remain poorly understood. This study explores, for the first time, the impact of COVID-19 related government intervention policies on different stock market sectors using explainable machine learning-based prediction models. The empirical findings suggest that the LightGBM model provides excellent prediction accuracy while preserving computationally efficient and easy explainability of the model. We also find that COVID-19 government interventions are better predictors of stock market volatility than stock market returns. We further show that the observed effects of government intervention on the volatility and returns of ten stock market sectors are heterogeneous and asymmetrical. Our findings have important implications for policymakers and investors in terms of promoting balance and sustaining prosperity across industry sectors through government interventions.",45,Annals of Operations Research,JournalArticle,True,10.1007/s10479-023-05311-8
FINANCIAL CONTAGION DURING GLOBAL FINANCIAL CRISIS AND COVID–19 PANDEMIC: THE EVIDENCE FROM DCC–GARCH MODEL,T. Nguyen; Thi Kieu Hoa Phan; T. Nguyen,2022,stock market covid GARCH,Yes,"Abstract This paper is the first study to examine the financial contagion from the U.S., Japanese and Chinese markets to Asian markets during the Global Financial Crisis (GFC) and Covid-19 Pandemic Crisis. We employ the DCC-EGARCH methodology and daily data of stock returns from 2005 to 2021 to estimate the time-varying correlations and the volatilities of stock markets. Our results show that the correlation between the U.S. and Japanese markets with emerging Asian ones is quite high, implying the interdependence between these markets. Furthermore, we find significant contagion effects from the U.S. equity market to markets in both advanced and emerging economies during the GFC. Nonetheless, during the Covid-19 pandemic, only 3 out of 10 Asian emerging markets had experienced the contagion from the U.S. Our findings also suggest that contagion effects are not strongly related to the level of global integration and Asian markets seem to be more affected by the contagion from Japan and China.",41,Cogent Economics & Finance,,True,10.1080/23322039.2022.2051824
Dynamic Linkage between Bitcoin and Traditional Financial Assets: A Comparative Analysis of Different Time Frequencies,Panpan Wang; Xiaoxing Liu; Sixu Wu,2022,stock market covid GARCH,Yes,"This study employs the ADCC-GARCH approach to investigate the dynamic correlation between bitcoin and 14 major financial assets in different time-frequency dimensions over the period 2013–2021, for which the risk diversification, hedging and safe-haven properties of bitcoin for those traditional assets are further examined. The results show that, first, bitcoin is positively linked to risk assets, including stock, bond and commodity, and negatively linked to the U.S. dollar, which is a safe-haven asset, so bitcoin is closer in nature to a risk asset than a safe-haven asset. Second, the high short-term volatility and speculative nature of the bitcoin market makes its long-term correlation with other assets stronger than the short-term. Third, the positive linkage between the prices of bitcoin and risk assets increases sharply under extreme shocks (e.g., the outbreak of COVID-19 in early 2020). Fourth, bitcoin can hedge against the U.S. dollar, and in the long term, bitcoin can hedge against the Chinese stock market and act as a safe haven for the U.S. stock market and crude oil. However, for most other traditional assets, bitcoin is only an effective diversifier.",36,Entropy,JournalArticle,True,10.3390/e24111565
"Geopolitical risk, economic policy uncertainty, and dynamic connectedness between clean energy, conventional energy, and food markets.",Mohamed Yousfi; Houssam Bouzgarrou,2023,stock market covid GARCH,No,,32,Environmental science and pollution research international,JournalArticle,False,10.1007/s11356-023-31379-7
"Covid-19 pandemic, asset prices, risks, and their convergence: A survey of Islamic and G7 stock market, and alternative assets",B. Setiawan; Rifai Afin; E. Wikurendra; R. Nathan; Mária Fekete-Farkas,2022,stock market covid GARCH,Yes,"The coronavirus (Covid-19) pandemic created a shock not only for the health-care industry but also the global economy and finances. The pandemic also caused an increase in the risk of investing in various financial assets worldwide. To investigate this phenomenon empirically, this study analyzes the behavior of financial assets through risk and return in the time of the Covid-19 outbreak, using the GARCH (Generalized Auto Regressive Conditional Heteroskedasticity) family methods. This study conducts a group analysis asset price performance, based on stock markets in Muslim-majority countries and the Group of Seven (G7) and alternative financial assets. This asset group is selected to represent the characteristics of the global financial market with possibly varied behavior. The results of the study show, first, that the severity of the pandemic had a negative effect on the price performance of some assets, such as Indonesia (Jakarta Islamic Index), the UK (United Kingdom100 Index, ESG (Environmental, Social, and Governance), commodities, 10-year US bonds, and Bitcoin, but the price performance of other assets went in the opposite direction, for example, Malaysia (FBMHS Index), the US (S&P 500 Index), and gold. Second, during the pandemic, most assets became more risky. Third, prices on G7 and Islamic stocks and alternative asset groups had different price and risk convergence patterns. The pandemic contributed to price differentials but not much changed in the risk patterns of the assets. Stock prices in the markets of Muslim-majority countries moved randomly—that is, they did not tend to converge in the pre-crisis period. However, before and during the pandemic, asset risk converged in the markets of Muslim-majority countries, which means that the risk of investing in assets there has long-term risk following the same pattern (i.e., if it increases in one country, assets in the other countries will follow). This pattern makes it easier for investors to observe and make risk decisions on investment in Islamic assets in Muslim-majority countries, so this investment in these assets is sustainable. This study suggests that investment managers diversify financial portfolios based on the type of assets and the severity of the pandemic and the policy response in the relevant country.",30,Borsa Istanbul Review,Review,True,10.1016/j.bir.2022.11.011
Can gold or silver be used as a hedge against policy uncertainty and COVID-19 in the Chinese market?,T. Chiang,2022,stock market covid GARCH,Yes,"PurposeThe purpose of this study is to present evidence as to whether the use of gold or silver can be justified as an asset to hedge against policy uncertainty and COVID-19 in the Chinese market.Design/methodology/approachBy using a GARCH model with a generalized error distribution (GED), this study specifies that the gold (or silver) return is a function of a set of economic and uncertainty variables, which include volatility from interest rate innovation, a change in economic policy uncertainty (EPU), a change in geopolitical risk (GPR) and volatility due to pandemic diseases, while controlling for stock market returns, inflation rates, economic growth and the Chinese currency value.FindingsThis study employs monthly data of gold and silver prices over the period from January 2002 to August 2021 to examine hedging behavior. Estimated results show that the gold return is positively correlated to the stock return and a rise in uncertainty from economic policy innovation, geopolitical risk, volatility due to US interest rate innovation as well as COVID-19 infection. This result suggests that gold cannot be used to hedge against a stock market decline, but can be used to hedge against uncertainty in general. However, the silver return only responds positively to a rise in uncertainty from the inflation rate and geopolitical risk. Evidence shows that silver returns are negatively correlated with stock returns, and display hedging characteristics. However, the evidence lacks statistically significance during the COVID-19 period, suggesting that the role of silver as a safe-haven asset against stock market turmoil is weak for this time period.Research limitations/implicationsMore general nonlinear specifications can be developed. The tests may include different measures of uncertainty that interact with each other or with the lagged error terms. An implication of the model is that gold can be used to hedge against a broad range of uncertainties for economic policy change, political risk and/or a pandemic. However, the use of gold as an asset to hedge against a stock downturn in Chinese market should be done with caution.Practical implicationsThis study has important policy implications as regards a choice in assets in formatting a portfolio to hedge against uncertainty. Specifically, this study presents empirical evidence on gold and silver return behavior and finds that gold returns respond positively to heightened uncertainty. Thus, gold is a good asset to hedge against uncertainty arising from policy innovations and infectious disease uncertainty.Social implicationsThis paper provides insightful information on the choice of assets toward hedging against risk in the uncertainty market conditions. It provides information to investors and policy makers to use gold price movements as a signal for detecting the arrival of uncertainty. This study also provides information for demanding a risk premium for infectious disease.Originality/valueThis study empirically analyzes and verifies the role that gold serves as a safe haven asset to hedge against uncertainty in the Chinese market. This paper contributes to the literature by presenting evidence of risk/uncertainty premiums for holding gold against various sources of uncertainty such as economic policy uncertainty, geopolitical risk and equity market volatility due to US interest rate innovation and/or COVID-19. This study finds evidence that supports the use of a nonlinear specification, which demonstrates the interaction of uncertainty with the lagged change of infectious disease and helps to explain the gold/silver return behavior. Further, evidence shows that the gold return is positively correlated to the stock return. This finding contrasts with evidence in the US market. However, silver returns are negatively correlated with stock returns, but this correlation becomes insignificant during the period of COVID-19.",30,China Finance Review International,,False,10.1108/cfri-12-2021-0232
Frequency Connectedness and Spillovers among Oil and Islamic Sector Stock Markets: Portfolio Hedging Implications,Walid Mensi; Sami Al Kharusi; X. Vo; S. Kang,2022,stock market covid GARCH,Yes,"Using the asymmetric Baba-Engle-Kraft-Kroner (BEKK)-GARCH model and the frequency spillover methodology by Baruník and Křehlík (2018), this paper examines spillovers and portfolio management between crude oil and US Islamic sector stocks. The results show significant time-varying spillovers between oil and Islamic sectors. The short-term spillovers are stronger than their long-term counterparts. The spillovers intensify during extreme events (global financial crisis and COVID-19 pandemic). The aggregate index, consumer services, raw materials, and manufacturing are net contributors of spillovers in the short term, whereas the remaining sectors are net recipients. In the long-term horizon, we find that consumer goods and finance become net transmitters of spillovers. The raw materials sector becomes a net recipient of spillovers in the long term. Finally, hedging effectiveness is lower in the long term than in the short term during the oil crisis in 2015-2016 and the US presidential election in 2017, US-China trade tension, and the COVID-19 pandemic.",29,Borsa Istanbul Review,,True,10.1016/j.bir.2022.07.008
Complex network analysis of volatility spillovers between global financial indicators and G20 stock markets,B. Korkusuz; D. McMillan; Dimos S. Kambouroudis,2022,stock market covid GARCH,Yes,"This paper analyses the dynamic transmission mechanism of volatility spillovers between key global financial indicators and G20 stock markets. To examine volatility spillover relations, we combine a bivariate GARCH-BEKK model with complex network theory. Specifically, we construct a volatility network of international financial markets utilising the spatial connectedness of spillovers (consisting of nodes and edges). The findings show that spillover relations between global variables and G20 markets vary significantly across five identified sub-periods. Notably, networks are much denser in crisis periods compared to non-crisis periods. In comparing two crisis periods, Global Financial Crisis (2008) and COVID-19 Crisis (2020) periods, the network statistics suggest that volatility spillovers in the latter period are more transitive and intense than the former. This suggests that financial volatility spreads more rapidly and directly through key financial indicators to the G20 stock markets. For example, oil and bonds are the largest volatility senders, while the markets of Saudi Arabia, Russia, South Africa, and Brazil are the main volatility receivers. In the former crisis, the source of financial volatility concentrates primarily in the USA, Australia, Canada, and Saudi Arabia, which are the largest volatility senders and receivers. China emerges as generally the least sensitive market to external volatility.",29,Empirical Economics,JournalArticle,True,10.1007/s00181-022-02290-w
Did U.S. and Chinese investors respond differently to the exogenous shocks from COVID-19 and the war in Ukraine?,Yongmin Zhang; Yiru Sun,2023,stock market covid GARCH,Yes,"This paper investigates the U.S. and Chinese stock markets' long-run responses to COVID-19 and the Russia–Ukraine war, the main shocks that have recently battered the globalized economy. The investigation uses both static data analysis and ARMA-GARCH and DCC-GARCH dynamic risk models incorporating both events' impacts. Model fitting reveals opposite reactions of the two stock markets' long-run volatilities to the pandemic, but both volatilities have been enhanced by the war, with a much stronger reaction from the U.S. than from the Chinese market. Furthermore, the war has reduced the linkage between the two markets, while the pandemic has had no significant effect. The different responses of U.S. and Chinese investors may be attributed to the two countries' very different virus containment strategies, pandemic severities, and policy approaches to the geopolitical conflict. Our results have important practical implications for regulators' risk mitigation policy design and investors' cross-market hedging strategy development.",28,International Review of Financial Analysis,JournalArticle,True,10.1016/j.irfa.2023.102710
